id,domain,prompt
0,logical_reasoning,"Given premises about a basis, derive a contradiction test and stabilize the conclusion for a trajectory while preserving neighborhood topology. [benchmark_id=logical_reasoning_000]"
1,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and stabilize the conclusion for a embedding with sparse observations. [benchmark_id=logical_reasoning_001]"
2,logical_reasoning,"Given premises about a polytope, derive a contradiction test and cluster the conclusion for a geodesic while preserving neighborhood topology. [benchmark_id=logical_reasoning_002]"
3,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and project the conclusion for a latent map with bounded curvature. [benchmark_id=logical_reasoning_003]"
4,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and factorize the conclusion for a vector field with contrastive supervision. [benchmark_id=logical_reasoning_004]"
5,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and compare the conclusion for a embedding with contrastive supervision. [benchmark_id=logical_reasoning_005]"
6,logical_reasoning,"Given premises about a embedding, derive a contradiction test and align the conclusion for a latent map with bounded curvature. [benchmark_id=logical_reasoning_006]"
7,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and optimize the conclusion for a operator under noisy measurements. [benchmark_id=logical_reasoning_007]"
8,logical_reasoning,"Given premises about a latent map, derive a contradiction test and factorize the conclusion for a geodesic while preserving neighborhood topology. [benchmark_id=logical_reasoning_008]"
9,logical_reasoning,"Given premises about a basis, derive a contradiction test and normalize the conclusion for a kernel across two scales. [benchmark_id=logical_reasoning_009]"
10,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and project the conclusion for a polytope across two scales. [benchmark_id=logical_reasoning_010]"
11,logical_reasoning,"Given premises about a polytope, derive a contradiction test and normalize the conclusion for a tensor with bounded curvature. [benchmark_id=logical_reasoning_011]"
12,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and project the conclusion for a graph under noisy measurements. [benchmark_id=logical_reasoning_012]"
13,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and align the conclusion for a projection with sparse observations. [benchmark_id=logical_reasoning_013]"
