id,domain,prompt
0,logical_reasoning,"Given premises about a graph, derive a contradiction test and decompose the conclusion for a tensor under rotational invariance. [benchmark_id=logical_reasoning_000]"
1,logical_reasoning,"Given premises about a projection, derive a contradiction test and align the conclusion for a geodesic while preserving neighborhood topology. [benchmark_id=logical_reasoning_001]"
2,logical_reasoning,"Given premises about a polytope, derive a contradiction test and decompose the conclusion for a trajectory under noisy measurements. [benchmark_id=logical_reasoning_002]"
3,logical_reasoning,"Given premises about a embedding, derive a contradiction test and align the conclusion for a geodesic under fixed token budget. [benchmark_id=logical_reasoning_003]"
4,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and factorize the conclusion for a vector field under fixed token budget. [benchmark_id=logical_reasoning_004]"
5,logical_reasoning,"Given premises about a polytope, derive a contradiction test and perturb the conclusion for a projection with sparse observations. [benchmark_id=logical_reasoning_005]"
6,logical_reasoning,"Given premises about a latent map, derive a contradiction test and factorize the conclusion for a basis while preserving neighborhood topology. [benchmark_id=logical_reasoning_006]"
7,logical_reasoning,"Given premises about a operator, derive a contradiction test and normalize the conclusion for a basis under fixed token budget. [benchmark_id=logical_reasoning_007]"
8,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and cluster the conclusion for a geodesic across two scales. [benchmark_id=logical_reasoning_008]"
9,logical_reasoning,"Given premises about a operator, derive a contradiction test and decompose the conclusion for a embedding under fixed token budget. [benchmark_id=logical_reasoning_009]"
10,logical_reasoning,"Given premises about a basis, derive a contradiction test and interpolate the conclusion for a geodesic under fixed token budget. [benchmark_id=logical_reasoning_010]"
11,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and optimize the conclusion for a basis with contrastive supervision. [benchmark_id=logical_reasoning_011]"
12,logical_reasoning,"Given premises about a coordinate frame, derive a contradiction test and interpolate the conclusion for a operator under noisy measurements. [benchmark_id=logical_reasoning_012]"
13,logical_reasoning,"Given premises about a latent map, derive a contradiction test and project the conclusion for a trajectory with contrastive supervision. [benchmark_id=logical_reasoning_013]"
14,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and compare the conclusion for a embedding across two scales. [benchmark_id=logical_reasoning_014]"
15,logical_reasoning,"Given premises about a basis, derive a contradiction test and normalize the conclusion for a latent map under fixed token budget. [benchmark_id=logical_reasoning_015]"
16,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and decompose the conclusion for a kernel under noisy measurements. [benchmark_id=logical_reasoning_016]"
17,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and optimize the conclusion for a distance matrix with contrastive supervision. [benchmark_id=logical_reasoning_017]"
18,logical_reasoning,"Given premises about a kernel, derive a contradiction test and factorize the conclusion for a graph under fixed token budget. [benchmark_id=logical_reasoning_018]"
19,logical_reasoning,"Given premises about a vector field, derive a contradiction test and cluster the conclusion for a trajectory under rotational invariance. [benchmark_id=logical_reasoning_019]"
20,logical_reasoning,"Given premises about a polytope, derive a contradiction test and decompose the conclusion for a geodesic across two scales. [benchmark_id=logical_reasoning_020]"
21,logical_reasoning,"Given premises about a trajectory, derive a contradiction test and interpolate the conclusion for a trajectory with sparse observations. [benchmark_id=logical_reasoning_021]"
22,logical_reasoning,"Given premises about a distance matrix, derive a contradiction test and cluster the conclusion for a projection with sparse observations. [benchmark_id=logical_reasoning_022]"
23,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and normalize the conclusion for a trajectory under noisy measurements. [benchmark_id=logical_reasoning_023]"
24,logical_reasoning,"Given premises about a latent map, derive a contradiction test and align the conclusion for a graph under fixed token budget. [benchmark_id=logical_reasoning_024]"
25,logical_reasoning,"Given premises about a embedding, derive a contradiction test and align the conclusion for a basis with contrastive supervision. [benchmark_id=logical_reasoning_025]"
26,logical_reasoning,"Given premises about a vector field, derive a contradiction test and stabilize the conclusion for a tensor while preserving neighborhood topology. [benchmark_id=logical_reasoning_026]"
27,logical_reasoning,"Given premises about a embedding, derive a contradiction test and stabilize the conclusion for a geodesic under fixed token budget. [benchmark_id=logical_reasoning_027]"
28,logical_reasoning,"Given premises about a graph, derive a contradiction test and decompose the conclusion for a coordinate frame with sparse observations. [benchmark_id=logical_reasoning_028]"
29,logical_reasoning,"Given premises about a geodesic, derive a contradiction test and decompose the conclusion for a embedding with bounded curvature. [benchmark_id=logical_reasoning_029]"
30,algebraic_geometry,"Compute an explicit mapping from a graph to a coordinate frame, then normalize basis vectors and discuss rank behavior while preserving neighborhood topology. [benchmark_id=algebraic_geometry_000]"
31,algebraic_geometry,"Compute an explicit mapping from a trajectory to a operator, then compare basis vectors and discuss rank behavior under fixed token budget. [benchmark_id=algebraic_geometry_001]"
